agg_sector,fuel,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
1A1_Energy-transformation,biomass,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177778,0.000177536,0.000177295,0.000177053,0.000176812,0.00017657,0.000176492,0.000176413,0.000176334,0.000176255,0.000176176,0.000176097,0.000176018,0.000175939,0.00017586,0.000175781,0.00017598,0.000176179,0.000176377,0.000176576,0.000176774,0.000176773,0.000176771,0.000176769,0.000176767,0.000176765,0.000176764,0.000176763,0.000176761,0.00017676,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759,0.000176759
1A1_Energy-transformation,brown_coal,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.42E-05,1.34E-05,1.35E-05,1.40E-05,1.44E-05,1.38E-05,1.35E-05,1.40E-05,1.42E-05,1.40E-05,1.40E-05,1.40E-05,1.41E-05,1.41E-05,1.41E-05,1.37E-05,1.33E-05,1.29E-05,1.25E-05,1.21E-05,1.18E-05,1.14E-05,1.11E-05,1.08E-05,1.05E-05,1.16E-05,1.27E-05,1.38E-05,1.49E-05,1.60E-05,1.69E-05,1.79E-05,1.88E-05,1.97E-05,2.07E-05,2.12E-05,2.17E-05,2.23E-05,2.28E-05,2.33E-05,2.37E-05,2.40E-05,2.44E-05,2.47E-05,2.51E-05,2.55E-05,2.59E-05,2.62E-05,2.66E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05,2.70E-05
1A1_Energy-transformation,diesel_oil,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.95E-06,1.87E-06,1.78E-06,1.69E-06,1.60E-06,1.52E-06,1.46E-06,1.41E-06,1.35E-06,1.30E-06,1.24E-06,1.23E-06,1.21E-06,1.19E-06,1.18E-06,1.16E-06,1.16E-06,1.16E-06,1.16E-06,1.15E-06,1.15E-06,1.14E-06,1.13E-06,1.12E-06,1.10E-06,1.09E-06,1.09E-06,1.08E-06,1.08E-06,1.07E-06,1.07E-06,1.08E-06,1.08E-06,1.09E-06,1.10E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06
1A1_Energy-transformation,hard_coal,0.006250026,0.006250029,0.00625,0.006249951,0.006204294,0.00596954,0.005704311,0.00555766,0.005472239,0.00508713,0.004779871,0.004345013,0.003709033,0.001362845,0.000923299,0.000611408,0.000385529,0.000286588,0.000236797,0.000188815,0.000182856,0.000174222,0.000251052,0.000229829,0.000208606,0.000187383,0.00016616,0.000144937,0.000140068,0.000135199,0.000130329,0.00012546,0.000120591,0.00011978,0.000118969,0.000118157,0.000117346,0.000116535,0.000110693,0.000104851,9.90E-05,9.32E-05,8.73E-05,8.23E-05,7.72E-05,7.22E-05,6.71E-05,6.21E-05,6.56E-05,6.91E-05,7.26E-05,7.60E-05,7.95E-05,8.81E-05,9.67E-05,0.000105305,0.000113898,0.00012249,0.00012168,0.00012087,0.00012006,0.00011925,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844,0.00011844
1A1_Energy-transformation,heavy_oil,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.36E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.40E-05,3.39E-05,3.39E-05,3.39E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.37E-05,3.37E-05,3.37E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.38E-05,3.38E-05,3.38E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05
1A2_Industry-combustion,biomass,0.000975681,0.000968451,0.000952505,0.000947384,0.000921767,0.000930965,0.000991203,0.0010188,0.001065555,0.001148709,0.001199421,0.001310562,0.001390789,0.001459945,0.001611745,0.001694606,0.001645348,0.001559149,0.001416014,0.001639764,0.001726615,0.001696761,0.001729435,0.001726471,0.001723508,0.001720544,0.00171758,0.001714617,0.001756832,0.001799047,0.001841262,0.001883477,0.001925693,0.001944495,0.001963297,0.001982099,0.002000901,0.002019703,0.001952221,0.001884739,0.001817257,0.001749775,0.001682293,0.001701422,0.001720551,0.001739681,0.00175881,0.001777939,0.001793425,0.00180891,0.001824396,0.001839882,0.001855368,0.001861766,0.001868165,0.001874563,0.001880962,0.00188736,0.001888287,0.001889213,0.00189014,0.001891066,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993,0.001891993
1A2_Industry-combustion,brown_coal,0.001159881,0.001160256,0.001160155,0.001160076,0.001159995,0.001160044,0.00116013,0.001160116,0.001160174,0.001160179,0.001160156,0.001160159,0.001160147,0.001160139,0.001160161,0.001130358,0.001057774,0.000972558,0.000913039,0.000997571,0.000887307,0.000843071,0.000808736,0.000803838,0.000798941,0.000794043,0.000789146,0.000784248,0.000781531,0.000778814,0.000776097,0.00077338,0.000770663,0.000768939,0.000767214,0.00076549,0.000763766,0.000762042,0.000738415,0.000714789,0.000691162,0.000667535,0.000643909,0.000640039,0.00063617,0.0006323,0.000628431,0.000624561,0.000619642,0.000614723,0.000609804,0.000604885,0.000599966,0.000579917,0.000559867,0.000539818,0.000519768,0.000499718,0.000481519,0.00046332,0.000445121,0.000426921,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722,0.000408722
1A2_Industry-combustion,coal_coke,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.35E-06,8.30E-06,8.25E-06,8.20E-06,8.16E-06,8.13E-06,8.10E-06,8.08E-06,8.05E-06,8.02E-06,8.04E-06,8.05E-06,8.07E-06,8.08E-06,8.10E-06,8.11E-06,8.12E-06,8.13E-06,8.14E-06,8.15E-06,8.14E-06,8.14E-06,8.13E-06,8.13E-06,8.12E-06,8.12E-06,8.12E-06,8.12E-06,8.12E-06,8.12E-06,8.14E-06,8.15E-06,8.17E-06,8.18E-06,8.19E-06,8.18E-06,8.17E-06,8.15E-06,8.14E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06,8.13E-06
1A2_Industry-combustion,diesel_oil,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.000692308,0.00061423,0.000614275,0.000614319,0.000614364,0.000614409,0.000614454,0.000615822,0.000617191,0.00061856,0.000619928,0.000621297,0.000621841,0.000622384,0.000622928,0.000623472,0.000624015,0.000627949,0.000631883,0.000635817,0.000639751,0.000643685,0.00064519,0.000646696,0.000648201,0.000649707,0.000651213,0.000651498,0.000651783,0.000652068,0.000652354,0.000652639,0.000653565,0.000654491,0.000655416,0.000656342,0.000657268,0.000658022,0.000658777,0.000659532,0.000660287,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042,0.000661042
1A2_Industry-combustion,hard_coal,3.61E-05,3.61E-05,4.10E-05,3.92E-05,3.60E-05,3.60E-05,4.06E-05,4.09E-05,3.90E-05,4.16E-05,4.36E-05,3.69E-05,4.31E-05,4.59E-05,4.82E-05,5.97E-05,6.13E-05,6.39E-05,6.90E-05,5.69E-05,5.96E-05,7.21E-05,0.000123366,0.000117965,0.000112565,0.000107164,0.000101763,9.64E-05,9.77E-05,9.91E-05,0.000100444,0.000101805,0.000103165,0.000104624,0.000106083,0.000107541,0.000109,0.000110458,0.000123315,0.000136172,0.000149028,0.000161885,0.000174741,0.000179234,0.000183727,0.000188219,0.000192712,0.000197205,0.000195629,0.000194053,0.000192477,0.000190901,0.000189325,0.000192327,0.000195328,0.00019833,0.000201331,0.000204333,0.000206207,0.000208081,0.000209954,0.000211828,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702,0.000213702
1A2_Industry-combustion,heavy_oil,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.22E-05,3.42E-05,3.40E-05,3.39E-05,3.38E-05,3.38E-05,3.37E-05,3.37E-05,3.38E-05,3.37E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.37E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.39E-05,3.39E-05,3.39E-05,3.39E-05,3.39E-05,3.39E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05
1A2_Industry-combustion,light_oil,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.22E-05,4.21E-05,4.21E-05,4.20E-05,4.20E-05,4.20E-05,4.20E-05,4.20E-05,4.21E-05,4.21E-05,4.21E-05,4.22E-05,4.23E-05,4.23E-05,4.24E-05,4.25E-05,4.25E-05,4.25E-05,4.25E-05,4.25E-05,4.26E-05,4.25E-05,4.24E-05,4.24E-05,4.23E-05,4.22E-05,4.22E-05,4.23E-05,4.23E-05,4.23E-05,4.23E-05,4.24E-05,4.24E-05,4.24E-05,4.24E-05,4.25E-05,4.26E-05,4.27E-05,4.28E-05,4.29E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05
1A3_Aviation,light_oil,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,2.91E-05,2.82E-05,2.82E-05,2.82E-05,2.82E-05,2.82E-05,2.82E-05,2.82E-05,2.82E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.81E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05,2.80E-05
