"Category","1.A.4 Other Sectors"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","73.63","73.63","74.03","75.05","77.50","79.77","82.36","83.03","86.11","88.05","90.70","94.01","112.75","114.16","126.27","125.73","131.89","123.22","121.72","122.91","122.52","125.40","125.94","127.62"
"Austria","27.73","27.73","28.63","27.81","27.15","25.66","26.65","28.26","28.51","28.14","29.28","27.55","29.05","27.54","27.32","26.48","26.79","25.90","24.04","24.15","22.13","22.57","20.94","20.44"
"Belarus","18.28","18.28","17.81","17.29","16.37","13.89","13.48","13.97","14.55","14.80","14.23","13.62","12.70","11.77","11.51","11.41","12.17","12.86","13.84","14.16","12.68","12.46","10.57","10.44"
"Belgium","29.69","29.69","31.96","31.98","32.35","31.67","32.24","36.57","33.13","33.55","32.63","28.48","29.93","28.71","29.24","28.81","27.91","26.87","25.02","26.38","25.89","27.33","22.59","24.26"
"Bulgaria","7.95","13.84","8.25","6.70","7.29","7.78","5.49","5.99","4.11","5.26","4.63","4.75","4.45","5.18","5.42","5.00","5.02","5.42","4.94","4.78","4.58","4.94","5.33","5.46"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","15.03","15.03","11.50","6.18","5.24","9.42","8.13","9.02","8.48","10.47","10.97","12.85","13.62","13.13","13.57","13.16","13.15","13.24","12.86","13.51","13.29","13.18","13.30","12.52"
"Cyprus","0.46","0.46","0.49","0.59","0.60","0.68","0.65","0.68","0.71","0.75","0.78","1.06","1.03","0.99","0.71","0.69","0.65","0.66","0.62","0.61","0.63","0.59","0.62","0.60"
"Czech Republic","37.69","37.69","29.00","29.36","27.00","23.04","23.00","21.70","23.90","20.25","20.79","19.96","19.88","23.04","21.20","21.00","16.71","14.08","13.15","10.48","11.24","12.43","11.23","11.71"
"Denmark","30.12","30.12","31.09","29.62","29.96","29.44","30.79","31.92","30.64","30.42","31.14","35.28","35.46","35.13","35.21","31.12","33.03","31.30","30.06","31.02","29.52","28.37","27.13","26.11"
"Estonia","2.88","2.88","2.67","1.71","1.50","1.43","2.11","2.44","2.43","1.98","1.87","1.91","2.01","2.07","2.15","2.17","1.91","1.82","2.21","2.25","2.31","2.40","2.19","2.28"
"European Union (15)","1,314.43","1,314.43","1,342.55","1,307.55","1,327.37","1,299.06","1,306.90","1,353.91","1,307.00","1,297.79","1,288.32","1,255.39","1,283.80","1,237.73","1,231.98","1,199.43","1,173.63","1,124.48","1,042.74","1,048.70","1,013.79","1,015.13","937.51","923.84"
"European Union (28)","1,499.68","1,499.68","1,509.14","1,443.00","1,456.45","1,419.78","1,421.55","1,474.01","1,427.12","1,412.14","1,401.45","1,369.40","1,397.07","1,352.76","1,351.29","1,319.08","1,289.76","1,238.93","1,149.05","1,154.02","1,119.40","1,125.51","1,044.45","1,028.48"
"Finland","27.39","27.39","26.81","26.76","25.93","25.19","24.40","25.25","25.48","25.74","24.92","23.82","23.98","23.40","22.76","21.90","20.62","20.04","19.22","18.32","18.19","18.84","16.70","17.49"
"France","271.31","271.31","283.27","279.13","278.31","270.41","274.23","280.96","273.56","278.08","276.87","273.62","286.54","273.31","278.22","282.85","276.58","261.36","243.59","246.08","242.13","234.09","214.40","220.69"
"Germany","207.31","207.31","205.13","183.46","190.01","182.01","184.38","197.92","189.46","181.47","172.98","164.48","174.47","162.85","155.68","145.64","140.39","145.72","124.29","140.05","134.86","146.85","133.96","136.24"
"Greece","46.59","46.59","48.34","45.13","43.93","44.11","41.34","43.11","43.20","43.39","43.35","43.82","44.78","48.71","53.57","46.50","48.83","48.77","43.98","42.23","33.94","30.34","32.75","20.37"
"Hungary","","33.86","35.07","29.27","30.63","29.55","28.79","30.14","28.84","26.76","27.54","27.03","27.25","27.60","29.12","28.16","27.84","27.06","23.57","23.96","23.77","26.14","25.45","22.37"
"Iceland","16.02","16.02","16.45","18.02","18.78","18.51","18.80","20.24","19.78","19.10","18.78","17.65","15.65","17.29","16.43","15.71","15.31","13.39","13.72","12.59","14.54","13.01","12.17","11.80"
"Ireland","14.27","14.27","14.65","14.46","14.62","15.98","17.34","15.38","15.64","15.98","16.36","16.93","17.39","17.04","20.27","19.93","20.17","18.81","17.70","18.08","16.12","15.38","13.34","12.78"
"Italy","172.96","172.96","168.86","171.48","183.18","176.95","184.56","186.36","182.89","185.21","183.44","172.83","175.02","171.71","172.30","169.84","165.89","156.69","147.21","143.12","143.94","139.98","136.22","132.55"
"Japan","107.16","107.16","106.43","112.75","129.80","134.71","159.44","146.45","152.40","166.32","193.53","199.53","208.56","222.55","217.33","213.05","207.44","203.29","195.10","183.22","176.50","177.45","178.04","173.47"
"Latvia","21.40","21.40","23.83","18.40","16.26","12.44","10.34","10.09","8.65","7.37","8.22","7.63","8.53","7.85","9.01","9.02","8.57","8.60","8.17","7.40","7.54","7.76","7.22","7.11"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","21.70","21.70","19.06","11.60","11.52","9.75","8.70","8.88","7.60","7.07","6.28","5.91","5.87","6.03","6.10","6.12","6.31","6.68","6.56","6.61","6.53","6.73","6.68","6.65"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.11","0.11","0.12","0.11","0.11","0.11","0.12","0.12","0.11","0.11","0.11","0.12","0.10","0.20","0.14","0.22","0.23","0.23","0.28","0.29","0.31","0.31","0.17","0.28"
"Monaco","0.06","0.06","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.03","0.03"
"Netherlands","73.32","73.32","73.37","71.83","75.11","74.47","81.71","84.75","76.78","74.23","74.52","74.56","74.78","71.09","71.69","66.77","62.40","58.86","55.16","54.20","52.32","55.21","46.94","46.59"
"New Zealand","10.69","10.69","9.79","11.04","10.98","12.25","12.38","12.98","13.88","15.04","14.71","14.05","14.67","15.42","18.42","15.75","16.46","16.82","17.06","16.00","15.35","14.88","15.93","16.90"
"Norway","30.03","30.03","27.79","26.31","26.16","26.92","27.09","30.06","30.84","31.84","31.66","29.49","31.52","32.08","31.48","30.49","29.26","27.69","26.29","24.95","26.40","26.27","25.41","25.98"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","41.38","41.38","43.06","42.62","42.72","45.33","42.66","44.72","40.72","35.79","38.11","40.73","42.50","43.11","41.28","43.42","44.96","37.04","35.74","32.34","31.99","29.39","27.09","25.72"
"Romania","18.62","18.66","16.82","13.21","12.11","10.62","12.12","15.43","20.69","19.10","16.68","16.68","14.16","14.18","17.06","19.29","19.95","21.61","20.06","20.66","20.95","21.29","20.20","21.14"
"Russian Federation","930.24","930.24","720.83","579.99","503.36","470.95","474.22","370.77","365.52","328.59","353.30","440.38","436.83","378.90","376.00","566.74","397.17","391.83","400.93","425.10","399.16","336.28","362.56","279.39"
"Slovakia","13.33","13.33","13.08","12.24","10.58","9.46","9.02","8.84","7.78","8.36","8.20","9.41","9.86","8.41","8.48","8.61","9.84","9.27","8.59","8.96","8.90","9.04","9.20","9.34"
"Slovenia","7.84","6.27","6.72","6.07","6.22","6.44","6.18","6.76","6.81","6.88","7.06","6.72","6.52","6.36","6.36","6.19","5.97","5.77","5.30","5.81","5.54","5.57","5.34","5.17"
"Spain","130.32","130.32","135.89","139.47","141.11","143.68","144.26","146.95","149.03","153.79","158.37","159.50","161.69","162.14","159.54","160.23","158.60","157.87","152.93","150.98","149.70","150.19","145.02","141.95"
"Sweden","29.43","29.43","28.78","27.95","26.89","26.90","25.08","25.13","24.83","24.80","24.24","24.02","22.81","22.26","22.16","21.48","20.41","19.10","18.34","17.73","17.39","16.86","16.28","15.67"
"Switzerland","22.60","22.60","23.54","23.15","22.17","20.94","21.65","22.07","20.58","20.52","19.67","18.30","18.56","17.64","17.91","17.46","17.17","16.30","14.67","15.00","14.37","14.71","12.41","12.89"
"Turkey","153.28","153.28","155.31","157.18","178.84","175.48","181.95","188.93","195.74","191.00","191.87","198.73","185.05","187.99","191.53","203.67","207.44","217.07","232.57","294.61","295.19","286.55","318.72","122.94"
"Ukraine","97.21","97.21","","","","","","","","58.48","53.34","48.79","49.29","56.23","55.75","56.79","57.24","56.15","51.74","53.00","50.47","52.38","110.18","103.11"
"United Kingdom of Great Britain and Northern Ireland","215.69","215.69","225.67","218.68","218.83","210.03","200.32","210.56","197.40","191.21","185.58","174.21","169.43","154.47","147.00","137.91","130.63","119.31","109.46","107.99","99.29","103.27","88.14","87.37"
"United States of America","1,419.77","1,419.77","1,421.58","1,458.78","1,405.25","1,535.89","1,419.77","1,459.97","1,237.08","1,161.58","923.73","945.58","873.81","860.34","876.25","892.15","907.17","860.66","814.14","767.63","782.76","797.89","902.46","902.46"
