"Category","2.B Chemical Industry"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","4.07","4.07","3.76","3.82","1.25","1.16","0.69","0.69","0.68","0.66","0.67","0.68","0.66","0.66","0.69","0.56","0.57","0.45","0.34","0.42","0.30","0.42","0.38","0.41"
"Belarus","0.11","0.11","0.10","0.08","0.05","0.05","0.08","0.07","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09","0.10","0.11","0.10","0.10","0.10","0.11","0.10"
"Belgium","8.42","8.42","7.35","6.03","5.22","13.96","6.36","6.17","13.90","5.68","13.73","5.36","5.52","12.11","9.97","10.27","11.21","10.78","10.72","3.13","2.55","2.97","3.14","2.99"
"Bulgaria","13.93","12.57","8.99","7.25","6.40","7.57","10.76","10.93","8.44","5.51","4.24","7.35","7.25","5.31","6.51","7.43","8.01","6.87","7.42","7.05","4.45","5.77","8.14","5.92"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","2.55","2.55","2.27","2.71","2.23","2.37","2.52","2.45","2.55","2.19","2.39","2.52","2.01","2.08","2.36","2.69","2.28","2.22","2.43","2.38","2.11","1.67","1.08","1.00"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","6.32","6.32","6.19","6.50","4.39","7.12","6.38","4.09","4.09","7.16","7.29","8.24","0.68","1.42","1.30","0.59","0.29","1.18","1.07","0.59","0.60","1.25","1.20","1.15"
"Denmark","0.84","0.84","0.78","0.69","0.62","0.64","0.65","0.54","0.61","0.47","0.51","0.45","0.42","0.42","0.47","0.30","0.03","0.04","0.02","0.02","0.02","0.02","0.02","0.02"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","106.97","106.97","95.97","86.97","73.96","80.75","72.84","55.44","62.46","53.44","61.94","54.43","50.02","55.49","53.07","56.34","56.81","54.92","58.19","46.02","40.18","43.40","43.00","41.42"
"European Union (28)","150.97","150.97","127.25","116.82","100.81","113.95","109.07","87.29","88.42","77.49","84.57","83.13","69.97","73.30","69.13","73.81","74.66","70.99","75.83","62.82","52.22","59.76","62.06","56.64"
"Finland","0.90","0.90","0.79","0.68","0.50","0.57","0.79","0.63","0.61","0.66","0.62","0.67","0.58","0.61","0.65","0.74","0.75","0.77","0.82","1.41","2.11","1.27","1.24","1.24"
"France","20.62","20.62","18.04","14.61","11.63","11.03","10.72","11.33","11.00","10.75","10.36","10.97","9.74","8.07","7.87","7.75","7.41","5.51","6.98","5.10","4.13","4.17","4.07","3.35"
"Germany","19.68","19.68","18.01","17.17","17.07","16.96","19.15","19.58","19.26","19.36","19.74","21.50","20.18","23.27","24.55","27.87","28.59","30.03","31.91","29.28","25.22","28.26","27.89","27.90"
"Greece","1.14","1.14","0.93","0.76","0.90","0.80","0.79","0.90","0.77","0.73","0.84","0.75","0.54","0.69","0.67","0.58","0.47","0.41","0.43","0.43","0.35","0.44","0.49","0.31"
"Hungary","11.08","7.96","4.13","2.33","3.39","5.38","4.33","5.51","4.95","4.03","3.36","3.86","3.68","2.54","2.33","2.52","2.33","1.95","1.59","1.26","1.15","1.74","2.13","1.91"
"Iceland","0.40","0.40","0.42","0.35","0.33","0.40","0.42","0.42","0.46","0.37","0.42","0.39","0.44","0.48","0.46","0.37","","","","","","","",""
"Ireland","0.96","0.96","1.67","1.82","0.96","0.28","0.28","0.28","0.28","0.28","0.28","0.30","0.37","0.19","","","","","","","","","",""
"Italy","21.96","21.96","21.16","20.57","18.37","19.26","20.93","3.29","3.34","3.29","3.07","3.32","3.12","3.07","3.08","3.62","3.41","3.14","3.18","2.65","2.32","2.63","2.84","2.40"
"Japan","1.31","1.31","5.40","1.42","5.88","6.46","6.49","6.75","7.00","6.65","5.29","5.00","4.71","4.42","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43","4.43"
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.92","0.92","0.99","0.61","0.44","0.50","0.69","0.90","0.84","0.98","1.00","1.11","1.21","1.29","1.30","1.33","1.49","1.48","2.33","2.03","1.47","1.46","2.26","2.12"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","9.27","9.27","8.32","7.42","6.51","5.60","4.74","4.34","4.11","4.06","4.35","3.05","2.59","1.22","","0.09","0.06","0.06","0.06","0.50","0.41","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","2.78","2.78","1.99","1.37","1.59","1.87","1.65","1.66","2.07","1.89","1.86","1.94","2.09","1.85","1.95","1.90","1.79","1.88","1.67","1.45","1.17","1.56","1.36","1.47"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.62","0.62","0.61","0.49","0.40","0.32","0.50","0.57","0.62","0.70","0.71","0.71","0.72","0.70","0.81","0.90","0.83","0.72","0.77","0.64","0.37","0.51","0.42","0.36"
"Romania","14.77","9.37","5.50","7.53","7.53","6.38","7.29","7.73","4.86","3.97","4.16","5.40","4.93","4.98","2.07","2.67","3.19","2.08","2.54","3.24","1.94","4.12","3.88","2.79"
"Russian Federation","3.70","3.70","3.74","3.11","2.48","1.96","2.23","2.43","2.20","1.90","2.11","2.52","2.71","3.13","3.03","3.23","3.49","3.47","3.67","3.31","4.14","4.32","4.50","4.42"
"Slovakia","4.31","4.31","3.22","2.93","2.46","3.87","4.25","0.24","0.23","0.21","0.19","0.21","0.21","0.20","0.20","0.23","0.27","0.27","0.27","0.26","0.32","0.34","0.38","0.33"
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","8.16","8.16","5.12","4.44","2.92","3.55","3.70","3.79","3.63","3.25","3.34","3.12","3.01","2.60","2.46","1.67","1.77","1.38","1.27","1.10","1.12","1.33","1.35","1.25"
"Sweden","1.83","1.83","1.75","1.60","1.55","1.38","1.15","1.08","1.04","1.04","1.00","1.13","0.94","0.74","0.72","0.78","0.68","0.69","0.63","0.61","0.47","0.62","0.54","0.50"
"Switzerland","0.08","0.08","0.08","0.07","0.06","0.07","0.07","0.07","0.06","0.07","0.07","0.07","0.08","0.08","0.07","0.07","0.06","0.07","0.07","0.08","0.07","0.07","0.07","0.07"
"Turkey","0.27","0.27","2.25","5.90","5.89","2.03","10.38","9.65","6.90","8.58","8.92","8.76","7.09","8.16","7.68","7.88","3.60","6.18","0.02","0.01","0.00","0.05","0.07","0.01"
"Ukraine","41.29","41.29","36.55","31.62","26.78","22.05","17.34","20.56","22.51","18.43","19.84","22.42","21.75","26.33","26.56","23.01","27.04","27.12","35.18","32.34","21.97","27.49","35.26","35.19"
"United Kingdom of Great Britain and Northern Ireland","8.49","8.49","7.68","6.87","6.06","5.26","2.40","2.25","2.60","2.50","2.71","2.44","1.62","1.14","1.13","1.21","1.01","0.95","1.06","0.73","0.81","0.77","0.64","0.68"
"United States of America","152.41","152.41","149.69","147.87","140.62","145.15","143.34","113.20","115.07","117.10","92.96","94.96","97.24","63.35","60.65","57.95","55.24","53.36","51.47","49.58","48.14","46.70","45.26","45.26"
